,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
143,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Rule,a1,arg49950,arg116747,arg49950_arg116747,rr,ab909f84d7477c3ad4b2f421bd0603,-1
144,RHR 2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116760,arg49950,arg116760_arg49950,rr,712976bfa20924574442c60b7539d4,1
145,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",I havent read it yet,a1,arg49950,arg116773,arg49950_arg116773,rr,b5759b94e1c22929d3c6b3b2b6527d,-1
146,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116814,arg49950,arg116814_arg49950,rr,ac526d118a314db1aa024d9354fd8f,1
147,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Into the screen,a1,arg49950,arg116822,arg49950_arg116822,rr,ed8d8e83d4d570fce6244f35a7bc1b,-1
148,Tghjjj bhhjj,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116837,arg49950,arg116837_arg49950,rr,42aea1e99ebd3e6aa5b1d7e58b6de8,1
149,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",fhgdhgdhd,a1,arg49950,arg116853,arg49950_arg116853,rr,4b126f247c75db7042a06f4c93fa19,-1
150,yes.,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116863,arg49950,arg116863_arg49950,rr,912209f8b1eb4d4b4dd4c7dda6c69c,1
151,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Rh rule,a1,arg49950,arg116877,arg49950_arg116877,rr,1bf09bfecd7e41bbc3e8cf9b1d60f3,-1
152,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116905,arg49950,arg116905_arg49950,rr,637ecb1b8c33e7098073b0d6996d67,1
153,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",yyd hh,a1,arg49950,arg116908,arg49950_arg116908,rr,969ae3729cdb5cc4c6c5d6a68a13c2,-1
154,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116920,arg49950,arg116920_arg49950,rr,35de34faa8a79034d210fb7400b39f,1
155,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",bcz north to south field,a1,arg49950,arg116947,arg49950_arg116947,rr,7069978eee92f961c62cdf3f449540,-1
156,hand,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116960,arg49950,arg116960_arg49950,rr,e40dfacc895c84fc6c9614d514cf73,1
157,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",because,a1,arg49950,arg116994,arg49950_arg116994,rr,d5e869d27e6619d0c52c27cdb10cf3,-1
158,not sure,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116999,arg49950,arg116999_arg49950,rr,aab94745f656eca4c31a37fa5822fc,1
159,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ","b,vckflgk.lhnb nvh.kjb, n,kjhnl.",a1,arg49950,arg117020,arg49950_arg117020,rr,c41f62f99faeae1b348a11d9983dde,-1
160,fsadfaf,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117031,arg49950,arg117031_arg49950,rr,3bb148fe06bf34da96c62080db3beb,1
161,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",same as before using the hand rule,a1,arg49950,arg117042,arg49950_arg117042,rr,81915791e788df24e783f6a26b9858,-1
162,Left hand,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117044,arg49950,arg117044_arg49950,rr,6825ac3eec131fc14ed1d7fdf6ce9f,1
163,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Rhr ..,a1,arg49950,arg117066,arg49950_arg117066,rr,8dcc3a0f6e1f6295913ccf6c059f53,-1
164,rhr2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117080,arg49950,arg117080_arg49950,rr,a2d28215a47a9871195e73618f900a,1
165,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",akjfnd;gkadfjng,a1,arg49950,arg117084,arg49950_arg117084,rr,55a9b0c20855bef2bfbf145d68857e,-1
166,because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117098,arg49950,arg117098_arg49950,rr,e2deb2d14c0817fda10d36e27dba2d,1
167,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",INto the screen,a1,arg49950,arg117114,arg49950_arg117114,rr,840780589f14ab1186cfe815fa74de,-1
168,hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117130,arg49950,arg117130_arg49950,rr,466561e93612f5a8165f95c1af3b6d,1
169,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg117133,arg49950_arg117133,rr,3c24f7e56fd26cf5d667902203a6bc,-1
170,I do not understand why,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117141,arg49950,arg117141_arg49950,rr,37dc95a2810c253548122ab8e5daec,1
171,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Into the screen.,a1,arg49950,arg117177,arg49950_arg117177,rr,7ff4a8fa84e7c4bee2621ba1c9d397,-1
172,I stick with my rationale.,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117191,arg49950,arg117191_arg49950,rr,b089a39c7ebf1a462514fb3b29f775,1
173,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",jojoj,a1,arg49950,arg117217,arg49950_arg117217,rr,d68bbd7b5c1571789d84fba2a4a1c8,-1
174,Hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117253,arg49950,arg117253_arg49950,rr,bfe7c38f1efaff365390bfbf03a3d5,1
175,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",o the scr,a1,arg49950,arg117258,arg49950_arg117258,rr,2a785a047898d57c42b0e76b1a3da5,-1
176,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117261,arg49950,arg117261_arg49950,wr,4c072bbc40b98de4af97a23f4db58f,1
177,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Not sure,a1,arg49950,arg117286,arg49950_arg117286,wr,e2c0900e41c17599fc01276e57d340,-1
178,sksnsndmssk,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg117315,arg49950,arg117315_arg49950,rr,cf6d57bb7abf6c55295bb2b48d8963,1
179,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Just a guess,a1,arg49950,arg117322,arg49950_arg117322,rr,7d40d2be887821ac7460b2982dcd44,-1
